acce_x,acce_y,acce_z,magnetic_x,magnetic_y,magnetic_z,orientation_x,orientation_y,orientation_z,gyro_x,gyro_y,gyro_z,step,timestamp
"-0.087308004","0.17700802","0.99064684","-16.799999237060547","-8.159998893737793","-45.53999710083008","0.0","0.0","0.0","0.0","0.0","0.0","0","1498570464888"
"-0.1783236","0.32399642","1.8920362","-12.420000076293945","-4.439998626708984","-48.36000061035156","186.90087890625","-178.2357177734375","-8.449464797973633","-3.4913337230682373","5.103851795196533","-0.8148950934410095","0","1498570464919"
"-0.26119444","0.4536548","2.6992202","-7.859999656677246","-0.9000015258789063","-50.81999969482422","186.3262939453125","-179.42138671875","-6.138642311096191","1.0202903747558594","2.1185057163238525","-0.4800671339035034","0","1498570464919"
"-0.3308746","0.56974936","3.4152806","-3.239999771118164","2.4000015258789063","-53.39999771118164","187.5199432373047","-177.87136840820313","-7.6510329246521","-0.4986557066440582","0.3893756568431854","0.292236864566803","0","1498570464932"
"-0.42025754","0.6901412","4.0799475","1.260000228881836","5.819999694824219","-56.03999710083008","187.9634246826172","-177.35195922851563","-7.203332901000977","-0.4314457178115845","0.37471166253089905","0.4119929075241089","0","1498570464949"
"-0.48025057","0.8112911","4.693456","5.460000038146973","9.899999618530273","-59.03999710083008","77.57353210449219","-8.56361198425293","-6.152200222015381","-0.3202437162399292","0.23173768818378448","0.46576088666915894","0","1498570464967"
"-0.4673879","0.9069308","5.202319","10.139998435974121","13.799999237060547","-61.619998931884766","77.03689575195313","-8.447574615478516","-5.967416286468506","-0.15771770477294922","-0.08964832127094269","0.4877569079399109","0","1498570464985"
"-0.4281839","0.97351176","5.613054","14.34000015258789","17.69999885559082","-64.08000183105469","76.15564727783203","-8.299860000610352","-5.967797756195068","0.041468296200037","-0.4195883274078369","0.4608728885650635","0","1498570465004"
"-0.40928552","1.0296074","5.9577184","18.899999618530273","21.479999542236328","-66.77999877929688","75.42204284667969","-8.609716415405273","-5.3144636154174805","0.2137703001499176","-0.5588963031768799","0.3252308964729309","0","1498570465023"
"-0.41727337","1.1091563","6.2801156","19.079999923706055","21.479999542236328","-66.95999908447266","69.01632690429688","-8.022192001342773","-6.237454414367676","0.2699822783470154","-0.5075722932815552","0.15292887389659882","0","1498570465042"
"-0.43295404","1.1730958","6.5430045","19.079999923706055","21.65999984741211","-67.37999725341797","62.93778991699219","-7.848732948303223","-6.958620071411133","0.20888228714466095","-0.31571832299232483","0.06616687774658203","0","1498570465062"
"-0.42470145","1.2294455","6.784508","18.900001525878906","21.239999771118164","-67.26000213623047","59.564754486083984","-7.7248616218566895","-7.006011962890625","0.10745630413293839","-0.1067563146352768","0.09793888032436371","0","1498570465081"
"-0.42062292","1.2814757","7.0062866","18.420000076293945","21.239999771118164","-67.26000213623047","56.32847213745117","-7.460782051086426","-7.521972179412842","-0.029407702386379242","0.055769678205251694","0.1883668750524521","0","1498570465100"
"-0.44099182","1.3803289","7.2249036","18.240001678466797","21.059999465942383","-66.83999633789063","54.11735916137695","-7.326619625091553","-7.572518825531006","-0.1479417085647583","0.10953769087791443","0.2323588877916336","0","1498570465119"
"-0.46016103","1.4154768","7.404795","17.81999969482422","20.459999084472656","-66.83999633789063","51.75835037231445","-6.857425212860107","-7.969215393066406","-0.24936769902706146","0.05943567678332329","0.2018088847398758","0","1498570465138"
"-0.42526773","1.3971171","7.600425","17.639999389648438","19.920000076293945","-66.83999633789063","49.76070022583008","-6.520767688751221","-8.233054161071777","-0.35934770107269287","-0.03588031977415085","0.17125888168811798","0","1498570465157"
"-0.39517936","1.4260414","7.829833","17.279998779296875","19.920000076293945","-66.83999633789063","47.83536911010742","-5.715915203094482","-8.405298233032227","-0.565865695476532","-0.13852831721305847","0.10038287937641144","0","1498570465175"
"-0.39273742","1.4239672","8.035703","17.100000381469727","20.100000381469727","-66.65999603271484","46.20119094848633","-5.19413423538208","-8.662917137145996","-0.6550716757774353","-0.2204023152589798","-0.026705119758844376","0","1498570465195"
"-0.3629121","1.3802406","8.218713","17.100000381469727","20.399999618530273","-66.23999786376953","44.830101013183594","-4.348358154296875","-8.702436447143555","-0.6013036966323853","-0.24606432020664215","-0.1427951157093048","0","1498570465215"
"-0.33511248","1.3777233","8.386173","17.100000381469727","21.18000030517578","-66.54000091552734","43.250083923339844","-3.585218667984009","-8.880356788635254","-0.5939717292785645","-0.23262231051921844","-0.21000511944293976","0","1498570465233"
"-0.32623884","1.3429266","8.487133","16.799999237060547","21.600000381469727","-66.29999542236328","41.97747039794922","-2.8567352294921875","-9.073749542236328","-0.5389816761016846","-0.15074831247329712","-0.2674391269683838","0","1498570465252"
"-0.29660496","1.2748923","8.560416","16.440000534057617","22.260000228881836","-66.47999572753906","40.39106750488281","-2.3733272552490234","-8.922685623168945","-0.41922569274902344","-0.045656319707632065","-0.312653124332428","0","1498570465271"
"-0.28237286","1.2585115","8.694065","16.020000457763672","23.03999900817871","-66.47999572753906","38.91131591796875","-1.9783892631530762","-8.859140396118164","-0.41555970907211304","-0.07254031300544739","-0.301655113697052","0","1498570465290"
"-0.2884608","1.2324067","8.8082485","15.65999984741211","23.8799991607666","-66.41999816894531","37.81270980834961","-1.3028663396835327","-8.847176551818848","-0.47421571612358093","-0.14341631531715393","-0.28210312128067017","0","1498570465309"
