acceX,acceY,acceZ,magX,magY,magZ,orieX,orieY,orieZ,gyroX,gyroY,gyroZ,step,posX,posY
-0.004776001,-0.5001068,10.046661,6.680298,11.56311,-27.224731,327.3434,3.471797,0.37375283,-0.058624268,0.004547119,0.000259399,0,1,0
-0.10688782,-0.5679016,9.544174,7.331848,11.419678,-26.507568,326.81308,3.4701202,0.15264925,-0.15963745,-0.07058716,0.04953003,0,1,0
0.24645996,-0.56469727,10.038681,6.1431885,13.485718,-30.317688,327.11838,2.7381527,0.6679945,-0.08856201,0.055038452,-0.009506226,0,1,0
0.042282104,-0.5471649,10.119247,6.8893433,11.978149,-28.230286,327.16797,3.559751,0.3564447,0.031967163,-0.005020142,0.012481689,0,1,0
0.051849365,-0.60858154,9.927032,8.013916,12.088013,-28.079224,327.0401,3.4193478,0.31610033,0.003463745,0.051574707,0.006362915,0,1,0
-0.03111267,-0.58384705,10.070587,6.3095093,11.402893,-27.857971,327.312,3.0133047,0.4944524,-0.04499817,0.00718689,-0.007476807,0,1,0
0.007171631,-0.57347107,10.104889,6.604004,11.857605,-28.378296,327.22525,3.5829694,0.36374897,-0.017501831,0.010848999,0.012069702,0,1,0
0.17228699,-0.40837097,9.667007,6.1431885,13.485718,-30.317688,326.89896,2.2660968,0.78971183,-0.1296997,-0.015014648,0.011657715,0,1,0
-0.12602234,-0.40997314,10.113663,6.289673,13.723755,-30.101013,326.83777,2.157734,0.47858778,-0.007324219,-0.054504395,0.07234192,0,1,0
0.04386902,-0.5902252,9.956528,6.625366,11.4227295,-28.726196,327.13287,3.4104655,0.36408836,0.018539429,-0.014389038,0.004119873,0,1,0
0.023132324,-0.5391846,9.837692,6.680298,11.56311,-27.224731,327.28232,3.157574,0.5260088,-0.085510254,0.028762817,-0.000350952,0,1,0
-0.20817566,-0.8462677,10.152756,5.529785,14.016724,-27.442932,345.49918,4.7579336,-1.0732298,0.015686035,0.001083374,0.02998352,1,1,1
-0.25045776,-0.830307,9.934998,4.4174194,15.611267,-29.222107,345.79224,4.4919376,-0.8371661,-0.011199951,0.032440186,-0.004226685,1,1,1
-0.28234863,-0.79122925,9.790634,5.529785,14.016724,-27.442932,345.61597,4.6026583,-0.90162647,-0.07043457,0.04425049,0.040985107,1,1,1
-0.102890015,-0.78804016,9.791428,5.0811768,15.733337,-27.734375,345.0808,4.7503605,-1.0869201,-0.048446655,0.004547119,0.003921509,1,1,1
-0.19621277,-0.8989105,10.062622,5.4595947,14.8498535,-28.233337,344.9154,4.892343,-1.0608201,-0.013427734,0.011672974,-0.0050354,1,1,1
-0.22731018,-0.840683,9.949356,5.4595947,14.8498535,-28.233337,344.6685,4.9532523,-1.1250069,-0.009353638,-0.01399231,-0.001571655,1,1,1
-0.1690979,-0.8374939,10.016357,4.774475,15.675354,-27.041626,344.48035,4.962211,-1.083329,0.013031006,-0.003997803,0.003311157,1,1,1
-0.117248535,-0.8606262,9.945374,5.265808,15.390015,-26.846313,344.24634,4.8870454,-1.0045484,0.01751709,6.10E-05,-0.008285522,1,1,1
-0.16351318,-0.8494568,9.775482,5.265808,15.390015,-26.846313,344.1116,4.8809624,-1.0216101,-0.0466156,0.02571106,-0.022338867,1,1,1
-0.23529053,-0.8039856,9.929413,4.8461914,16.368103,-26.550293,344.28293,5.0495872,-1.170391,-0.06352234,0.053207397,-0.016235352,1,1,1
-0.29351807,-0.8542328,9.915848,5.383301,15.744019,-27.734375,344.2026,5.3230124,-1.3093889,-0.055786133,-0.01663208,-0.01663208,1,1,1
-0.04864502,-0.9746704,9.899109,1.8630981,18.876648,-32.118225,352.7818,5.894011,0.09754895,-0.032562256,-0.006042481,-0.060012817,2,1,2
-0.25523376,-0.7688904,10.163116,3.3874512,16.642761,-34.07135,354.8588,4.576837,-1.1791933,0.03543091,0.00718689,-0.039031982,3,1,3
-0.27757263,-0.7728882,9.962112,3.3416748,17.448425,-33.657837,354.68353,4.5307035,-1.4018937,-0.017913818,0.024505615,-0.04473877,3,1,3
-0.20019531,-0.7401886,9.824127,3.3874512,16.642761,-34.07135,354.84692,4.443081,-1.2298213,-0.013427734,0.023483276,-0.042297363,3,1,3
-0.29351807,-0.7417755,9.955734,4.1152954,16.418457,-31.762695,354.68353,4.5307035,-1.4018937,-0.01689148,0.013504028,-0.021316528,3,1,3
-0.3413849,-0.7154541,10.035492,4.1152954,16.418457,-31.762695,354.4291,4.5228786,-1.4405304,-0.002853394,0.01574707,-0.022338867,3,1,3
-0.34934998,-0.6994934,9.893524,3.8833618,14.996338,-31.544495,354.128,4.3489423,-1.433097,-0.009765625,-0.01928711,-0.010726929,3,1,3
-0.30308533,-0.72024536,9.980469,3.251648,15.866089,-30.867004,354.72375,4.501573,-1.5759352,0.022613525,-0.029876709,0.010238647,3,1,3
-0.28155518,-0.70747375,10.035507,3.0319214,16.12091,-32.481384,353.98578,4.2626767,-1.4272089,0.006317139,-0.008087158,-0.006042481,3,1,3
-0.18823242,-0.7553253,9.910278,4.345703,16.160583,-32.522583,354.46097,4.378718,-1.4606684,0.015274048,-0.008270264,-0.009521484,3,1,3
-0.2528534,-0.75294495,9.993225,3.9886475,16.751099,-31.762695,353.98578,4.2626767,-1.4272089,0.028717041,-0.07344055,0.02041626,3,1,3
-0.09890747,-0.75453186,9.902298,4.0008545,16.423035,-32.80487,353.53885,4.2191653,-1.1545208,0.034423828,-0.018463135,-0.006668091,3,1,3
-0.35972595,-0.74417114,9.525024,4.0008545,16.423035,-32.80487,353.17773,4.1169314,-1.0563726,-0.085510254,0.006378174,0.026733398,3,1,3
-0.13798523,-0.87657166,9.904694,1.3885498,18.623352,-37.165833,353.05176,5.2784023,-0.6620824,-0.05293274,0.039352417,-0.019699097,4,1,4
-0.24487305,-0.899704,9.932602,1.8875122,18.151855,-36.75232,353.15836,5.366671,-0.7063087,-0.02645874,0.009628296,-0.004013062,4,1,4
-0.07975769,-0.91166687,9.954147,3.0563354,17.15393,-33.00476,352.86505,5.506059,-0.7505981,-0.050491333,0.023880005,0.013900757,4,1,4
-0.14915466,-0.97706604,9.990829,2.7999878,17.088318,-34.61151,352.86505,5.506059,-0.7505981,-0.003646851,0.013305664,0.016952515,4,1,4
-0.15074158,-0.97787476,9.907089,3.8009644,16.365051,-34.606934,352.45398,5.588363,-0.78828484,-0.006713867,-0.008895874,0.000656128,4,1,4
-0.11804199,-1.0217438,9.9366,3.8009644,16.365051,-34.606934,352.45398,5.588363,-0.78828484,0.004074097,0.01574707,0.010238647,4,1,4
-0.20100403,-0.9866333,9.9062805,2.8945923,17.4469,-34.246826,352.40005,5.585429,-0.8372616,-0.031555176,0.005554199,0.00819397,4,1,4
-0.13877869,-0.96191406,10.00679,4.310608,17.526245,-35.118103,351.95926,5.5968456,-0.8394479,0.029129028,-0.006454468,-0.009307861,4,1,4
-0.09172058,-0.96910095,9.953339,4.310608,17.526245,-35.118103,351.95926,5.5968456,-0.8394479,0.011001587,0.000671387,-0.00869751,4,1,4
-0.12283325,-0.94595337,9.944565,3.3996582,17.55371,-34.414673,351.93442,5.5359855,-0.8137435,0.028305054,0.004135132,-0.013793945,4,1,4
-0.30947876,-0.9172516,9.9756775,3.0349731,17.39502,-35.113525,352.07144,5.3103437,-0.99619985,0.04133606,0.018997192,-0.012359619,4,1,4
-0.30070496,-0.95474243,9.503494,4.8446655,16.589355,-33.72345,351.6277,5.5276194,-1.072634,-0.05883789,0.008209229,0.03691101,4,1,4
-0.16191101,-1.1318054,10.04985,2.5054932,18.821716,-39.18457,356.47488,6.946816,-0.62475973,-0.053756714,0.05055237,-0.0569458,5,1,5
-0.23529053,-1.1349945,10.096115,1.8371582,20.433044,-38.294983,356.50494,7.124682,-0.7838463,0.0688324,0.001693726,-0.011947632,5,1,5
-0.12921143,-1.1437683,9.559326,1.8371582,20.433044,-38.294983,356.56268,6.9181437,-0.837717,-0.010375977,0.014923096,-0.013580322,5,1,5
-0.1563263,-1.2769623,10.105682,2.4978638,16.899109,-37.17041,356.20633,7.0302444,-0.74151057,-0.032577515,-0.024169922,-0.00869751,5,1,5
-0.04307556,-1.1190491,9.846466,4.130554,17.478943,-38.36212,356.20633,7.0302444,-0.74151057,0.022201538,0.021240234,-0.04676819,5,1,5
-0.26560974,-1.1740723,9.957336,4.130554,17.478943,-38.36212,355.86908,6.951452,-0.7952048,0.00692749,-0.009918213,-0.025802612,5,1,5
-0.09970093,-1.1676941,9.837692,3.2043457,17.736816,-38.31787,355.99542,6.9232907,-0.7645706,0.006515503,-0.003387451,-0.011947632,5,1,5
-0.29112244,-1.1086731,10.001999,1.902771,17.41333,-36.84082,355.70322,6.895708,-0.74504566,-0.002441406,0.017364502,-0.004623413,5,1,5
-0.19541931,-1.1030884,9.741974,2.5375366,17.475891,-37.815857,355.6823,6.8962536,-0.813828,0.024230957,0.02204895,0.015731812,5,1,5
-0.18823242,-1.1964111,10.037903,2.961731,18.4021,-37.605286,355.484,6.8110075,-0.9061293,-0.065963745,-0.03251648,0.022857666,5,1,5
-0.31744385,-0.678772,10.009186,3.3538818,11.634827,-42.78717,348.5672,4.301645,-1.9265594,-0.073898315,0.00718689,-0.037002563,6,1,6
-0.30308533,-0.66441345,9.710876,4.3395996,13.435364,-43.97888,348.7614,3.9361408,-2.0463502,-0.047027588,-0.03517151,-0.02458191,6,1,6
-0.40438843,-0.7433777,10.107285,3.3538818,11.634827,-42.78717,348.5672,4.301645,-1.9265594,-0.04295349,0.005569458,-0.01663208,6,1,6
-0.30947876,-0.67237854,9.967697,5.166626,11.026001,-41.99524,348.22433,4.3329506,-1.973208,0.031158447,0.011062622,-0.031906128,6,1,6
-0.40359497,-0.68673706,10.071396,4.626465,11.961365,-40.06195,348.22433,4.3329506,-1.973208,0.02973938,-0.019073486,-0.017868042,6,1,6
-0.29431152,-0.7489624,9.836884,4.296875,10.890198,-38.882446,347.63165,4.252295,-1.8464712,-0.003662109,-0.012969971,-0.015411377,6,1,6
-0.35812378,-0.7537384,9.931015,5.1467896,10.998535,-39.805603,347.63165,4.252295,-1.8464712,0.016494751,-0.000747681,-0.019485474,6,1,6
-0.46180725,-0.72024536,9.6853485,3.9138794,9.675598,-41.152954,347.2117,4.200266,-1.8480675,-0.0796051,-0.005844116,0.015533447,6,1,6
-0.30708313,-0.8135681,10.230911,4.142761,10.810852,-40.67688,347.16876,4.4596367,-1.8943896,-0.012619019,-0.002792358,-0.001159668,6,1,6
0.15553284,-0.67237854,9.94696,0.37841797,9.140015,-41.348267,355.07736,3.8603175,0.7901926,-0.028900146,0.012496948,0.009017944,7,1,7
0.09011841,-0.70428467,9.91745,1.2817383,7.258606,-41.80603,354.69864,3.9442263,0.7670526,-0.04824829,0.04159546,0.00352478,7,1,7
0.09492493,-0.70747375,10.035507,1.2817383,7.258606,-41.80603,354.45105,4.108259,0.59930867,-0.01852417,0.014328003,6.10E-05,7,1,7
0.06619263,-0.6699829,9.94458,2.154541,6.428528,-40.733337,354.75668,4.143427,0.51469535,-0.021987915,0.030395508,0.01675415,7,1,7
0.03668213,-0.7003021,10.0889435,1.3763428,7.10907,-39.328003,353.51807,4.1990356,0.42597842,0.03501892,0.008209229,0.010848999,7,1,7
0.08534241,-0.6388855,9.865616,0.831604,5.908203,-39.77356,353.1021,4.053819,0.37448794,0.015472412,0.005767822,0.001068115,7,1,7
0.011962891,-0.70188904,9.929413,0.3036499,6.668091,-41.36505,352.88504,3.9722135,0.3414001,0.002029419,0.035491943,0.013290405,7,1,7
-0.035095215,-0.6699829,9.825729,0.9780884,6.768799,-40.32898,352.93765,3.9662097,0.20080309,-0.03907776,0.00718689,0.018997192,7,1,7
0.063812256,-0.6356964,10.04747,1.7425537,8.598328,-38.964844,352.1246,4.3456655,0.21711874,-0.08062744,-0.019073486,0.016342163,7,1,7
-0.102890015,-0.99861145,9.683762,0.3829956,8.555603,-38.832092,5.356262,6.2025757,-0.6264751,-0.005493164,-0.01499939,-0.009109497,8,1,8
-0.35334778,-1.0927277,10.228516,1.4892578,7.495117,-37.11853,5.060608,6.479184,-0.71961725,0.08042908,-0.03149414,-0.01928711,8,1,8
-0.122024536,-1.0129547,9.985245,0.74920654,6.7504883,-38.412476,3.8556213,6.2142496,-0.5657608,-0.005889893,-0.003601074,-0.01928711,8,1,8
-0.061416626,-1.0504456,9.848053,1.4404297,6.5322876,-35.791016,3.9631042,6.083251,-0.47965413,0.055999756,0.00088501,-0.020095825,8,1,8
-0.08294678,-1.0081787,9.705292,0.54016113,5.1605225,-36.843872,3.151825,5.89619,-0.48008892,-0.032562256,-0.018051147,-0.00177002,8,1,8
-0.08615112,-1.0065765,10.055435,0.74920654,6.7504883,-38.412476,4.070526,6.1849155,-0.5979085,0.027694702,-0.032714844,0.002502441,8,1,8
-0.015151978,-0.95314026,10.070587,0.3173828,6.52771,-37.483215,2.8828125,6.0048685,-0.4137003,-0.008346558,-0.006652832,0.00453186,8,1,8
0.009567261,-0.98583984,10.011566,2.2857666,6.4468384,-37.47101,2.6241455,6.0204763,-0.38324386,-0.035629272,-0.05206299,-0.015625,8,1,8
-0.26002502,-0.8805542,9.731613,-2.6306152,6.588745,-34.12628,36.39868,4.772305,-1.3904763,0.034820557,0.00718689,0.019195557,9,1,9
-0.34136963,-0.8127594,10.273178,-2.4429321,7.054138,-34.036255,35.501495,5.147722,-1.2171625,0.06556702,0.025512695,-0.0050354,9,1,9
-0.16111755,-0.8725891,9.789032,-0.970459,5.0476074,-34.69391,36.39868,4.772305,-1.3904763,-0.0519104,0.020431519,-0.018875122,9,1,9
-0.2368927,-0.88375854,10.0737915,-1.7837524,5.8883667,-34.240723,36.59427,4.954978,-1.4514356,-0.025650024,0.014526367,-0.01826477,9,1,9
-0.31744385,-0.8550415,9.911072,-1.7837524,5.8883667,-34.240723,37.040253,5.0818567,-1.5232413,-0.010986328,0.007995606,-0.018463135,9,1,9
-0.3812561,-0.9020996,10.053055,1.4801025,5.975342,-31.903076,37.040253,5.0818567,-1.5232413,0.03543091,-0.028442383,0.002502441,9,1,9
-0.1483612,-0.90927124,9.7986145,-0.5844116,5.4992676,-32.69043,34.260956,5.03162,-1.3534509,-0.013839722,-0.004821777,-0.002182007,9,1,9
-0.2679901,-0.9276123,9.950943,-0.5844116,5.4992676,-32.69043,34.260956,5.03162,-1.3534509,-0.020950317,-0.000961304,-0.026412964,9,1,9
-0.2959137,-0.79042053,9.961319,-0.72784424,5.2337646,-33.563232,34.59314,5.1209044,-1.3603603,0.008361816,0.004943848,-0.05003357,9,1,9
-0.1563263,-0.8550415,9.88475,-0.05645752,5.2246094,-32.47223,34.701477,4.960578,-1.42674,0.003051758,0.030807495,-0.022537231,9,1,9
-0.3310089,-0.83270264,9.984451,0.091552734,4.055786,-32.263184,35.140656,5.0331507,-1.4508027,0.009368897,-0.002990723,0.001281738,9,1,9
-0.20019531,-0.90208435,10.038696,-1.0803223,5.2474976,-35.606384,34.268494,4.9617114,-1.515857,-0.041732788,-0.033325195,-0.044937134,9,1,9
-0.18185425,-0.9100647,10.029114,-4.722595,5.369568,-32.42798,55.94919,5.168369,-0.5739213,-0.02116394,0.017166138,-0.010528564,10,1,10
-0.13798523,-0.80158997,9.908676,-4.722595,5.369568,-32.42798,55.38156,5.0042653,-0.4707669,-0.032562256,-0.006454468,-0.020706177,10,1,10
-0.11087036,-0.9228363,9.8185425,-4.4570923,5.822754,-29.8172,55.94919,5.168369,-0.5739213,-0.018112183,0.002716065,-0.004821777,10,1,10
-0.08375549,-0.9100647,9.913467,-4.5288086,4.93927,-30.148315,56.118958,5.244057,-0.6007692,-0.075531006,0.002716065,-0.005645752,10,1,10
-0.22732544,-0.89411926,10.112869,-3.6987305,5.369568,-29.76532,56.29193,5.529941,-0.64339703,-0.025848389,0.003936768,0.018173218,10,1,10
-0.010375977,-0.8877411,9.951752,-3.2852173,4.397583,-27.911377,56.29193,5.529941,-0.64339703,0.044799805,-0.004013062,0.015533447,10,1,10
-0.033493042,-0.9658966,9.861618,-3.239441,4.824829,-29.80194,56.452423,5.37476,-0.62172586,-0.008743286,0.00881958,-0.00970459,10,1,10
-0.029510498,-0.99542236,9.804199,-2.986145,5.0460815,-30.030823,56.637512,5.411478,-0.645724,-0.035003662,0.022460938,-0.017654419,10,1,10
-0.23928833,-0.9818573,9.808975,-2.986145,5.0460815,-30.030823,56.68683,5.5323963,-0.71072614,-0.114227295,-0.007064819,-0.010940552,10,1,10
0.110061646,-0.64367676,9.910278,-8.763123,6.7367554,-30.187988,59.126526,4.0597434,0.16199599,-0.12948608,0.02999878,0.004730225,11,1,11
0.01675415,-0.61016846,9.908676,-8.763123,6.7367554,-30.187988,59.159973,3.6215854,0.2603973,-0.05496216,-0.016433716,0.017166138,11,1,11
-0.00718689,-0.60139465,10.180664,-7.585144,7.7453613,-29.15039,59.126526,4.0597434,0.16199599,-0.029724121,-0.012145996,-0.005233765,11,1,11
-0.030319214,-0.6006012,9.811371,-6.6085815,6.8008423,-27.272034,58.862854,4.149883,0.19988984,-0.041931152,0.004135132,-0.002593994,11,1,11
-0.028717041,-0.7034912,10.1328125,-6.6085815,6.8008423,-27.272034,58.66266,4.2555428,0.19937661,0.006317139,-0.008285522,-0.001571655,11,1,11
0.001602173,-0.70747375,9.871994,-7.2891235,5.5892944,-26.95465,58.66266,4.2555428,0.19937661,0.018325806,-0.020706177,0.002304077,11,1,11
-0.07975769,-0.69311523,9.963715,-7.25708,5.760193,-25.816345,58.912933,4.30512,0.2781638,-0.034606934,-0.006256104,0.004943848,11,1,11
0.08694458,-0.6372833,10.065811,-7.067871,5.4275513,-27.130127,58.912933,4.30512,0.2781638,0.033187866,-0.023757935,0.012680054,11,1,11
0.1563263,-0.6699829,9.962921,-9.240723,5.4718018,-27.349854,59.00708,4.179708,0.3609844,0.044387817,-0.010925293,0.01348877,11,1,11
0.049453735,-0.62213135,9.628723,-8.11615,5.66864,-26.776123,59.38846,4.0259595,0.40319455,-0.052719116,0.00189209,-0.022338867,11,1,11
0.10449219,-0.9316101,9.851257,-10.543823,9.735107,-25.170898,54.562073,6.1082387,-0.21792945,-0.040924072,0.009231567,-0.029067993,12,1,12
-0.08534241,-1.0057831,10.072189,-10.031128,11.645508,-25.84076,54.546844,6.1758494,-0.17196265,-0.013427734,0.009017944,-0.023361206,12,1,12
-0.09411621,-1.0520477,9.784256,-9.835815,10.53009,-24.945068,54.34967,6.1757703,-0.23682019,-0.006103516,-0.000549316,-0.015213013,12,1,12
-0.1268158,-1.1046753,9.900696,-9.796143,9.057617,-25.48523,54.36212,6.1961184,-0.2825968,-0.033798218,0.013504028,-0.005645752,12,1,12
-0.06700134,-1.0783691,9.988434,-8.644104,10.545349,-24.752808,54.532562,6.313394,-0.33278832,0.005493164,-0.009506226,0.009216309,12,1,12
0.0335083,-1.0480499,9.812973,-8.175659,8.528137,-24.971008,54.185974,6.2844257,-0.25834104,-0.019332886,0.03793335,-0.028244019,12,1,12
-0.13798523,-1.0416718,10.052246,-8.175659,8.528137,-24.971008,54.256683,6.299178,-0.38677242,0.006317139,0.012893677,-0.005233765,12,1,12
-0.10926819,-0.99142456,10.015564,-8.662415,10.481262,-23.869324,54.240997,6.249273,-0.43745053,-0.034194946,-0.026000977,-0.027633667,12,1,12
-0.003189087,-1.1621094,9.682953,-11.737061,14.208984,-23.25592,47.91617,6.8218937,-0.32101417,0.0423584,0.017166138,0.012878418,13,1,13
-0.026321411,-1.2705841,9.7547455,-11.917114,14.41803,-23.49701,47.91617,6.8218937,-0.32101417,-0.05027771,0.025924683,0.003921509,13,1,13
-0.1308136,-1.2961121,9.882355,-12.031555,13.026428,-21.647644,48.054382,7.1959996,-0.41131392,-0.05456543,0.003723145,-0.031707764,13,1,13
-0.066207886,-1.2578278,9.957336,-10.566711,12.722778,-23.649597,48.054382,7.1959996,-0.41131392,-0.04295349,0.002502441,-0.047180176,13,1,13
-0.13160706,-1.2466583,10.1017,-11.024475,12.437439,-22.665405,48.214355,7.3383827,-0.40497363,0.004074097,-0.008087158,-0.033340454,13,1,13
-0.14994812,-1.1469574,9.967697,-12.239075,12.327576,-22.92633,48.77417,7.0573936,-0.33346453,0.07493591,-0.005432129,-0.051864624,13,1,13
-0.062210083,-1.2131653,9.875183,-12.239075,12.327576,-22.92633,48.77417,7.0573936,-0.33346453,0.06251526,-0.004211426,-0.022949219,13,1,13
-0.07098389,-1.2283173,9.748352,-10.957336,12.187195,-22.268677,48.978058,6.7671747,-0.33548033,0.026885986,0.005157471,-0.017440796,13,1,13
-0.124435425,-1.1956177,9.720444,-10.621643,13.941956,-22.825623,48.978058,6.7671747,-0.33548033,-0.060256958,0.005569458,-0.021118164,13,1,13
0.21057129,-1.1509552,10.405594,-10.621643,13.941956,-22.825623,48.937042,6.9724655,-0.34769696,0.05682373,0.050964355,-0.060012817,13,1,13
-0.0765686,-0.99142456,9.860031,-11.671448,13.536072,-23.518372,45.738525,5.346279,-0.25401217,-0.109939575,0.0650177,-0.028244019,14,1,14
0.032699585,-0.87976074,9.724426,-12.702942,14.193726,-25.343323,45.80063,5.2327776,-0.2858019,-0.03236389,-0.007873535,0.015335083,14,1,14
-0.08534241,-1.0169525,10.126419,-12.69989,13.598633,-22.953796,46.1351,6.024343,-0.44416162,-0.08836365,-0.002990723,-0.03149414,14,1,14
-0.03907776,-1.0145569,9.982056,-12.69989,13.598633,-22.953796,46.1351,6.024343,-0.44416162,0.0105896,0.033050537,-0.075683594,14,1,14
-0.28155518,-1.1142578,9.976471,-12.463379,13.742065,-22.758484,46.41748,5.9900966,-0.54177994,-0.012008667,-0.023757935,-0.000961304,14,1,14
0.01914978,-1.0711823,9.856033,-12.608337,13.381958,-22.817993,46.499542,6.0351377,-0.4611633,-0.009979248,0.011459351,-0.04005432,14,1,14
-0.2504425,-1.0424805,9.965317,-12.760925,12.564087,-23.96698,47.117035,6.0568357,-0.5738178,0.004074097,0.023895264,-0.024978638,14,1,14
-0.2544403,-0.992218,9.577667,-12.091064,13.198853,-23.783875,47.19806,6.2673783,-0.73071986,-0.07594299,0.023071289,0.011047363,14,1,14
0.015151978,-1.0384827,10.446259,-11.268616,14.045715,-23.202515,47.19806,6.2673783,-0.73071986,0.016494751,-0.001358032,-0.023971558,14,1,14
-0.45224,-0.46580505,10.025925,-13.198853,15.992737,-27.656555,46.40326,3.78738,-2.3619652,-0.08226013,0.03630066,-0.015411377,15,1,15
-0.44267273,-0.58703613,10.10968,-12.004089,14.215088,-29.49524,46.40326,3.78738,-2.3619652,0.032791138,-0.005020142,0.005554199,15,1,15
-0.3421631,-0.4817505,9.883163,-12.211609,15.135193,-28.068542,46.540894,3.4054215,-2.2559333,-0.037460327,-0.004425049,0.007598877,15,1,15
-0.3724823,-0.6061859,9.895126,-11.460876,12.876892,-25.431824,46.417694,3.6699421,-2.3494272,0.008560181,-0.018051147,-0.021316528,15,1,15
-0.58784485,-0.6157532,10.021942,-11.616516,13.790894,-27.140808,46.718597,3.6624207,-2.2612457,0.027282715,0.017578125,-0.04534912,15,1,15
-0.6827545,-0.6149597,9.974091,-11.352539,13.722229,-25.914001,46.897827,3.5753205,-2.331417,-0.001220703,0.019210815,0.019805908,15,1,15
-0.46820068,-0.53359985,9.840088,-12.605286,13.288879,-25.154114,46.838013,3.571401,-2.4250782,0.007537842,0.020828247,0.023666382,15,1,15
-0.35095215,-0.60539246,9.869598,-11.616516,13.790894,-27.140808,46.543243,3.640851,-2.2756078,-0.005081177,-0.002182007,-0.05064392,15,1,15
-0.5224304,-0.63090515,9.698914,-12.605286,13.288879,-25.154114,46.871246,3.538768,-2.5038526,-0.031967163,0.028762817,0.020217896,15,1,15
-0.17945862,-0.5208435,9.843277,-15.019226,16.133118,-28.442383,49.237427,4.1228642,-1.3026507,-0.014038086,-0.020706177,0.038330078,16,1,16
-0.2281189,-0.6548462,10.071381,-15.023804,16.375732,-29.682922,48.911987,4.198765,-1.3641025,-0.015457153,0.034484863,0.021835327,16,1,16
-0.34057617,-0.7505493,9.954147,-14.042664,14.050293,-25.776672,48.911987,4.198765,-1.3641025,0.005508423,-0.009307861,0.06439209,16,1,16
-0.19700623,-0.6452637,9.809784,-13.920593,14.852905,-27.281189,48.755188,4.176545,-1.3507657,-0.0466156,0.015945435,0.027130127,16,1,16
-0.22891235,-0.7306061,10.05304,-14.3585205,14.155579,-26.771545,48.65555,4.327597,-1.4123292,-0.015060425,0.008209229,0.031814575,16,1,16
-0.100494385,-0.6827545,9.995621,-13.604736,14.077759,-26.860046,48.55017,4.2916284,-1.3103718,0.001220703,6.10E-05,-0.015823364,16,1,16
-0.32702637,-0.668396,9.849655,-13.604736,14.077759,-26.860046,48.55017,4.2916284,-1.3103718,-0.008743286,0.026321411,-0.025802612,16,1,16
-0.49291992,-0.7992096,9.705292,-13.047791,15.551758,-26.054382,48.657257,4.319457,-1.4118521,-0.12950134,-0.04371643,0.044036865,16,1,16
-0.31904602,-0.8007965,9.91507,-14.889526,16.726685,-29.934692,50.605713,4.45049,-1.4426668,0.05722046,-0.039230347,0.004333496,17,1,17
-0.16111755,-0.7010956,9.895126,-16.729736,16.746521,-30.589294,50.515594,4.2962985,-1.3313652,0.01322937,0.023483276,-0.022338867,17,1,17
-0.3796692,-0.7186432,9.788239,-15.155029,16.914368,-29.693604,50.45166,4.3087063,-1.4560984,-0.026870728,0.015945435,-0.009307861,17,1,17
-0.3900299,-0.71147156,9.948563,-13.853455,15.1901245,-28.041077,50.45166,4.3087063,-1.4560984,-0.03643799,0.007797241,-0.003601074,17,1,17
-0.4139557,-0.65563965,10.076172,-15.158081,14.633179,-27.964783,50.382843,4.4284816,-1.4930782,-0.014038086,-0.001556397,0.009628296,17,1,17
-0.24008179,-0.6628113,9.974884,-15.158081,14.633179,-27.964783,50.285522,4.3621545,-1.4163395,0.016296387,-0.0209198,0.01675415,17,1,17
-0.17308044,-0.77049255,9.978867,-15.44342,14.842224,-28.398132,50.285522,4.3621545,-1.4163395,0.040527344,-0.032714844,0.000457764,17,1,17
-0.30708313,-0.75294495,9.730011,-15.689087,15.873718,-28.871155,50.319397,4.225953,-1.2999952,-0.08326721,-0.04534912,-0.023971558,17,1,17
-0.35812378,-0.95155334,9.971695,-17.677307,18.534851,-28.808594,50.19763,5.738023,-1.9369363,-0.06941223,0.01838684,-0.03678894,18,1,18
-0.19221497,-1.0073853,9.728424,-17.677307,18.534851,-28.808594,50.103455,5.299186,-1.9188738,-0.057006836,-0.007263184,0.00453186,18,1,18
-0.38604736,-0.9643097,10.017944,-16.7984,17.410278,-27.781677,50.19763,5.738023,-1.9369363,-0.007125855,0.006988525,0.00289917,18,1,18
-0.3756714,-0.9786682,9.910263,-15.863037,15.289307,-27.400208,50.210052,5.757352,-1.9656222,0.008758545,-0.00970459,0.00453186,18,1,18
-0.4267273,-1.0424805,9.932602,-15.863037,15.289307,-27.400208,50.378265,5.7805643,-2.046341,-0.015258789,0.028564453,0.005355835,18,1,18
-0.43070984,-0.99142456,9.887939,-16.275024,16.00647,-27.085876,50.378265,5.7805643,-2.046341,0.017715454,0.017364502,0.038742065,18,1,18
