"accelerator_x","accelerator_y","accelerator_z","magnetic_x","magnetic_y","magnetic_z","orientation_x","orientation_y","orientation_z","gyroscope_x","gyroscope_y","gyroscope_z","step","timestamp"
"-0.17808442","0.46620083","0.87009","11.279999732971191","9.65999984741211","-53.459999084472656","0.0","0.0","0.0","0.0","0.0","0.0","0","1498569316451"
"-0.32699838","0.88542277","1.6701543","13.019999504089355","7.979999542236328","-55.5","243.38148498535156","145.50457763671875","-35.64461135864258","2.31805419921875","1.3168736696243286","-1.2364851236343384","0","1498569316453"
"-0.46066216","1.2447824","2.3988233","15.000000953674316","6.239999771118164","-57.36000061035156","317.5271301269531","-7.181157112121582","-3.624086380004883","0.5620402693748474","2.1270596981048584","-0.6291511058807373","0","1498569316455"
"-0.5847868","1.556007","3.0614426","16.920000076293945","5.399999618530273","-59.21999740600586","317.62451171875","-6.857687950134277","-3.031878709793091","-0.24570170044898987","-0.5405663251876831","-0.008375119417905807","0","1498569316533"
"-0.6917149","1.8441224","3.6520593","18.600000381469727","4.079999923706055","-61.31999969482422","10.146595001220703","-28.138944625854492","-24.505615234375","-0.20537570118904114","-0.601666271686554","-0.045035116374492645","0","1498569316536"
"-0.7677378","2.1210074","4.1824183","19.920000076293945","2.2799997329711914","-63.23999786376953","16.34840965270996","-26.750951766967773","-27.959732055664063","-0.15038570761680603","-0.6554343104362488","-0.020595118403434753","0","1498569316537"
"-0.78784","2.3436527","4.664047","21.479999542236328","0.9599990844726563","-64.91999816894531","16.664587020874023","-26.373449325561523","-27.24141502380371","-0.10394969582557678","-0.6713203191757202","0.030728884041309357","0","1498569316538"
"-0.793374","2.5556347","5.014271","23.03999900817871","-0.5399990081787109","-66.5999984741211","16.94512939453125","-26.166446685791016","-26.537052154541016","-0.07828769832849503","-0.6187742948532104","0.04172687977552414","0","1498569316563"
"-0.8158162","2.7741656","5.3596115","24.239999771118164","-2.280000686645508","-68.76000213623047","17.47710609436035","-25.677288055419922","-25.78327751159668","-0.16993770003318787","-0.6847622990608215","-0.08291711658239365","0","1498569316564"
"-0.8174762","2.9314952","5.7039065","23.639999389648438","-2.280000686645508","-68.81999969482422","18.101943969726563","-24.958736419677734","-25.096643447875977","-0.43633371591567993","-0.743418276309967","-0.2539971172809601","0","1498569316596"
"-0.8089238","3.0429525","6.0478578","22.31999969482422","-2.1599998474121094","-69.1199951171875","18.254175186157227","-24.63103675842285","-24.32832908630371","-0.6294097304344177","-0.6285502910614014","-0.2295571118593216","0","1498569316597"
"-0.7964426","3.1266396","6.3656664","21.0","-2.3999996185302734","-69.23999786376953","18.705886840820313","-23.66385841369629","-23.60462760925293","-0.7467216849327087","-0.549120306968689","-0.19656312465667725","0","1498569316623"
"-0.7962128","3.1850944","6.6914015","20.219999313354492","-2.0400009155273438","-69.5999984741211","19.362470626831055","-22.74884796142578","-22.951480865478516","-0.7968236804008484","-0.5149043202400208","-0.2051171213388443","0","1498569316641"
"-0.8089227","3.2095978","7.005254","19.5","-1.3199996948242188","-69.9000015258789","19.66938018798828","-21.947437286376953","-22.66189956665039","-0.8090437054634094","-0.4501383304595947","-0.21367111802101135","0","1498569316658"
"-0.8276572","3.2082093","7.2902327","18.84000015258789","-0.4200000762939453","-70.19999694824219","20.10982322692871","-20.85964584350586","-22.037879943847656","-0.7894917130470276","-0.3792623281478882","-0.18923111259937286","0","1498569316675"
"-0.8617407","3.2132983","7.5369062","17.939998626708984","0.7800006866455078","-70.5","20.475725173950195","-19.46566390991211","-21.418771743774414","-0.6123017072677612","-0.20573832094669342","-0.02548312023282051","0","1498569316695"
"-0.9012662","3.2184765","7.752813","16.979999542236328","1.8600006103515625","-70.5","20.475725173950195","-19.46566390991211","-21.418771743774414","-0.6123017072677612","-0.20573832094669342","-0.02548312023282051","0","1498569316711"
"-0.9193776","3.225529","7.9232087","15.90000057220459","2.8799991607666016","-70.91999816894531","20.39205551147461","-19.026599884033203","-21.29215431213379","-0.47054970264434814","-0.10797831416130066","0.0808308869600296","0","1498569316730"
"-0.92539227","3.2380953","8.070944","15.719998359680176","3.780000686645508","-70.73999786376953","20.528329849243164","-18.332914352416992","-21.027956008911133","-0.3300197124481201","-0.08964832127094269","0.14437487721443176","0","1498569316749"
"-0.93535024","3.2489266","8.206298","15.299999237060547","4.979999542236328","-70.73999786376953","20.37310791015625","-18.21026611328125","-20.880329132080078","-0.22981570661067963","-0.1275303214788437","0.15170687437057495","0","1498569316772"
"-0.9403656","3.233798","8.318667","14.700000762939453","5.940000534057617","-70.37999725341797","20.331737518310547","-17.771564483642578","-20.704675674438477","-0.20781970024108887","-0.1825203150510788","0.11504687368869781","0","1498569316788"
"-0.931245","3.2005677","8.414537","14.399999618530273","6.840000152587891","-70.19999694824219","20.325895309448242","-17.56507682800293","-20.441118240356445","-0.23959170281887054","-0.25706231594085693","0.051502883434295654","0","1498569316806"
"-0.9146645","3.1643217","8.511585","14.039999008178711","7.260000228881836","-70.0199966430664","20.26225471496582","-17.320384979248047","-20.195850372314453","-0.3068017065525055","-0.3364923298358917","0.0038448795676231384","0","1498569316825"
"-0.89770883","3.1340923","8.626914","13.79999828338623","7.440000534057617","-69.9000015258789","20.383058547973633","-16.87896728515625","-19.791349411010742","-0.3788996934890747","-0.3658203184604645","-0.015707120299339294","0","1498569316844"
"-0.87144554","3.100906","8.761328","13.619999885559082","7.920000076293945","-69.9000015258789","20.330463409423828","-16.73631477355957","-19.628442764282227","-0.4412217140197754","-0.30716434121131897","-0.021817117929458618","0","1498569316863"
"-0.82640016","3.0522609","8.9061","13.619998931884766","8.639999389648438","-69.72000122070313","20.401695251464844","-16.260351181030273","-19.424606323242188","-0.4729937016963959","-0.18863031268119812","-0.042591117322444916","0","1498569316882"
"-0.76839775","2.9726005","8.994058","13.199999809265137","9.35999870300293","-70.08000183105469","20.513763427734375","-15.875043869018555","-19.169918060302734","-0.4448876976966858","-0.01999431848526001","-0.09758111834526062","0","1498569316906"
"-0.7306672","2.8902617","9.014854","13.260000228881836","9.540000915527344","-70.0199966430664","20.662235260009766","-15.537430763244629","-19.30345344543457","-0.3312416970729828","0.10098367929458618","-0.20267312228679657","0","1498569316923"
"-0.74490845","2.8313458","8.986808","13.259998321533203","9.780000686645508","-70.0199966430664","20.836469650268555","-15.17617130279541","-19.215938568115234","-0.20170970261096954","0.14619767665863037","-0.3163191080093384","0","1498569316940"
