acce_x,acce_y,acce_z,magnetic_x,magnetic_y,magnetic_z,orientation_x,orientation_y,orientation_z,gyro_x,gyro_y,gyro_z,step,timestamp
-0.69869995,1.4388733,9.547363,-3.791809,18.032837,-52.804565,351.0487,-16.32924,-0.13795128,-0.05783081,0.015686035,0.047424316,4,1535114875841
-0.73220825,2.281952,7.1082764,-7.0526123,17.808533,-53.701782,350.95343,-16.046234,-0.20538753,-0.049484253,0.5072174,0.29074097,4,1535114875901
-0.36849976,2.926422,7.080368,-6.008911,19.296265,-53.729248,350.13617,-15.961857,-1.650146,-0.07086182,-0.008743286,0.15084839,4,1535114875966
-0.5224304,3.2342987,8.886139,-4.954529,19.05365,-54.164124,350.25296,-15.816141,-1.4927818,-0.042770386,-0.08287048,0.09240723,4,1535114876021
0.14834595,3.2239227,11.263016,-5.793762,19.210815,-53.286743,350.56915,-15.716683,-1.1487596,0.10220337,-0.37954712,0.00668335,4,1535114876082
0.14834595,3.2239227,11.263016,-5.793762,19.210815,-53.286743,351.40216,-16.076824,0.1269761,0.10220337,-0.37954712,0.00668335,5,1535114876082
0.5479584,3.519043,11.938583,-7.583618,18.954468,-54.24347,351.40216,-16.076824,0.1269761,-0.37773132,-0.17633057,-0.3736725,5,1535114876146
0.13000488,2.0243225,13.734009,-9.777832,20.265198,-54.118347,353.25748,-14.776722,0.41711444,-0.023422241,0.27285767,-0.18348694,5,1535114876200
0.33580017,1.4739685,9.764313,-9.777832,20.265198,-54.118347,353.8259,-15.573289,-1.0325874,0.33026123,0.14497375,0.031936646,5,1535114876261
0.00479126,1.5760651,8.329422,-7.6324463,19.882202,-55.381775,353.8259,-15.573289,-1.0325874,-0.19567871,0.18386841,0.032546997,5,1535114876321
-0.07817078,2.0267181,7.9306183,-6.7077637,21.116638,-54.93164,354.0344,-14.873145,-1.5883377,0.027282715,0.05293274,-0.10081482,5,1535114876381
-0.18345642,2.2117615,6.9694977,-6.7077637,21.116638,-54.93164,355.30588,-14.955108,-1.8514265,0.12989807,-0.027694702,0.039276123,5,1535114876441
0.49212646,3.1330109,8.042282,-6.663513,18.782043,-56.38733,355.15677,-15.457261,-1.6929477,-0.031967163,-0.14782715,-0.013259888,5,1535114876500
0.20498657,3.7032928,9.335999,-7.9956055,20.358276,-56.16913,355.71973,-15.435546,-1.1568278,0.059646606,-0.04194641,0.1386261,5,1535114876560
0.27038574,3.6394806,11.814957,-7.5164795,19.07196,-54.95453,355.73,-15.739543,-0.8445331,-0.1390686,-0.075546265,0.12702942,5,1535114876621
0.6795654,2.5475616,13.707687,-7.926941,20.843506,-55.83191,355.76752,-15.256225,-0.43599135,-0.18305969,-0.23294067,-0.003692627,5,1535114876680
-0.81755066,2.4382935,10.190231,-7.926941,20.843506,-55.83191,356.42175,-14.5194845,0.34202594,-0.18305969,-0.23294067,-0.003692627,6,1535114876740
-0.81755066,2.4382935,10.190231,-8.51593,20.401001,-55.13153,356.42175,-14.5194845,0.34202594,0.36346436,0.18406677,0.32270813,6,1535114876740
0.025527954,2.1758728,10.597015,-9.925842,20.111084,-56.541443,357.302,-15.109987,1.0455998,-0.1578064,-0.39074707,-0.20405579,6,1535114876799
-0.38046265,1.2410736,8.965912,-9.925842,20.111084,-56.541443,357.302,-15.109987,1.0455998,0.23538208,0.26368713,0.03479004,6,1535114876860
-0.6404724,2.2029877,5.6837463,-9.010315,20.721436,-56.65741,357.0067,-15.853793,0.16335103,0.23721313,0.48420715,0.16795349,6,1535114876920
-0.59980774,3.092331,6.2061768,-7.3501587,20.033264,-57.121277,356.5454,-16.767855,-1.333137,-0.11302185,-0.29118347,-0.1053009,6,1535114876980
-0.6325073,2.9726868,9.285751,-7.3501587,20.033264,-57.121277,358.11954,-16.463575,-0.5180161,-0.109954834,-0.17572021,-0.23582458,6,1535114877040
-0.27597046,3.3475647,10.963913,-8.46405,19.239807,-56.53076,359.1571,-16.08491,-0.22484647,-0.08329773,0.17816162,-0.11730957,6,1535114877099
-0.27597046,3.3475647,10.963913,-8.46405,19.239807,-56.53076,359.7694,-15.839107,-0.9303298,-0.08329773,0.17816162,-0.11730957,7,1535114877099
-0.44267273,4.0486603,12.620544,-8.740234,20.872498,-57.914734,359.7694,-15.839107,-0.9303298,-0.38098145,-0.040527344,-0.23458862,7,1535114877159
0.056625366,2.445465,14.783661,-10.083008,21.409607,-58.955383,0.9724121,-14.554467,-0.99975526,-0.016906738,0.034622192,-0.24986267,7,1535114877219
0.41236877,1.6638031,10.210968,-8.561707,21.28601,-56.75354,2.1838684,-14.2998085,-1.3062392,0.9692383,0.024429321,0.1793518,7,1535114877279
0.43948364,1.655838,7.680954,-7.5027466,17.990112,-58.88214,1.7807922,-17.566101,-1.1220177,0.10241699,0.0942688,-0.15945435,7,1535114877339
-0.1013031,2.138382,7.0157623,-6.3186646,17.289734,-59.440613,2.4671326,-17.830004,-1.5682633,0.031143188,0.2303009,-0.018966675,7,1535114877398
-0.4434662,2.4965057,6.3569336,-6.3186646,17.289734,-59.440613,2.539154,-17.960342,-2.3389502,0.008132935,-0.06942749,0.053527832,7,1535114877459
