acceX,acceY,acceZ,magX,magY,magZ,orieX,orieY,orieZ,gyroX,gyroY,gyroZ,step,posX,posY
-0.8438721,0.9555359,10.501297,14.533997,14.016724,-29.595947,324.6018,-5.584239,-3.8326626,0.05809021,-0.060897827,0.040618896,0,0,0
-0.3812561,1.0408783,9.9366,14.707947,13.25531,-29.821777,324.18823,-5.995522,-3.184203,-0.065704346,-0.19264221,0.088272095,0,0,0
-0.72343445,1.1525421,9.714066,14.533997,14.016724,-29.595947,324.18823,-5.995522,-3.184203,0.05870056,-0.12361145,0.091308594,0,0,0
-0.3062744,0.9156494,10.04985,13.865662,13.087463,-30.587769,323.85892,-5.797535,-2.5195508,-0.009506226,-0.10223389,0.056503296,0,0,0
-0.25683594,0.9674988,9.9653015,14.425659,12.528992,-28.55835,323.52603,-5.7397704,-2.0095286,0.016952515,-0.07148743,-0.014358521,0,0,0
-0.38684082,0.958725,9.911072,13.398743,12.060547,-27.462769,322.41327,-5.4796433,-2.2677815,0.012268066,0.025238037,-0.014770508,0,0,0
-0.23370361,0.94436646,9.838486,14.027405,12.438965,-28.866577,323.63324,-5.77451,-2.1601162,-0.004837036,-0.040130615,-0.026565552,0,0,0
-0.40040588,1.0009918,9.910278,12.713623,12.591553,-29.786682,322.35614,-5.6249914,-2.1907814,0.01675415,0.025848389,0.001312256,0,0,0
-0.47937012,1.00737,9.957336,12.878418,12.585449,-29.31366,322.31287,-5.475369,-2.3632724,-0.016021729,0.003448486,-0.022094727,0,0,0
-0.4442749,1.0408783,9.785843,14.141846,11.982727,-28.729248,323.3909,-5.7950325,-1.7753778,-0.034973145,-0.011016846,-0.030853271,0,0,0
-0.2368927,0.9515381,10.133606,13.710022,11.668396,-28.781128,323.26257,-5.6715174,-1.7400547,-0.038024902,-0.06904602,-0.00743103,0,0,0
-0.42433167,0.93400574,10.037094,13.725281,11.383057,-28.587341,322.29553,-5.5065207,-2.2083352,-0.014190674,0.006500244,-0.013336182,0,0,0
-0.38365173,0.93640137,9.892731,13.757324,13.002014,-27.687073,322.4131,-5.49932,-2.2874053,0.017364502,-0.026885986,-0.011108398,0,0,0
-0.36291504,0.958725,9.970886,13.563538,11.895752,-29.38385,322.38306,-5.538709,-2.2067008,-0.009109497,0.000595093,-0.01008606,0,0,0
-0.42512512,0.948349,9.919846,13.691711,12.130737,-28.001404,322.14896,-5.4504547,-2.2310262,0.024475098,0.003036499,-0.007019043,0,0,0
-0.39561462,0.96829224,9.985245,14.14032,12.878418,-28.485107,322.05356,-5.514576,-2.2598317,0.001281738,-0.001022339,9.16E-05,0,0,0
-0.4179535,0.9762726,9.927032,14.14032,12.878418,-28.485107,321.98343,-5.5121374,-2.282656,-0.004425049,0.002639771,-0.002151489,0,0,0
-0.28234863,1.0057831,9.829712,13.710022,11.668396,-28.781128,323.1255,-5.5436993,-1.5236819,0.047286987,0.028900146,-0.013946533,0,0,0
-0.34376526,0.9611206,9.939789,12.971497,11.18927,-29.21753,323.15466,-5.701605,-1.6218224,-0.034347534,0.03276062,-0.016189575,0,0,0
-0.3589325,0.9698944,9.974091,12.786865,12.9852295,-28.050232,322.87564,-5.5290904,-1.8673118,-0.005233765,0.013626099,-0.005813599,0,0,0
-0.36689758,0.9579315,9.923828,14.683533,12.179565,-28.063965,321.62994,-5.524791,-2.1592417,0.033447266,-0.032180786,0.002334595,0,0,0
-0.34934998,0.94436646,9.993225,14.683533,12.179565,-28.063965,322.00104,-5.5270195,-2.2343116,0.003509522,-0.015487671,-0.003982544,0,0,0
-0.37727356,0.928421,9.939789,13.145447,12.64801,-27.459717,321.99594,-5.5162168,-2.2831612,0.007781982,-0.021392822,-0.00112915,0,0,0
-0.31983948,0.9674988,9.985245,13.970947,11.561584,-28.718567,322.90433,-5.5091662,-1.9284738,0.027328491,0.023605347,-0.007034302,0,0,0
-0.36610413,0.93559265,9.993225,12.786865,12.9852295,-28.050232,323.03656,-5.5877833,-1.7390423,-0.015213013,0.035003662,-0.017822266,0,0,0
-0.35253906,1.0336914,9.9062805,12.768555,12.841797,-29.116821,321.61407,-5.6769657,-1.9475256,0.000457764,-0.001022339,-0.021270752,0,0,0
-0.28953552,1.0480499,9.953339,13.516235,12.602234,-28.170776,321.6225,-5.6095386,-2.062137,0.019592285,-0.029953003,-0.012115479,0,0,0
-0.36689758,0.98902893,9.87677,14.070129,12.358093,-28.070068,322.5167,-5.6410494,-2.1000648,0.013076782,0.029708862,-0.006622315,0,0,0
-0.38365173,1.0018005,9.9756775,13.4765625,11.373901,-30.140686,322.5167,-5.6410494,-2.1000648,-0.01826477,0.019943237,-0.011917114,0,0,0
-0.3565216,1.0081787,9.999603,12.307739,12.548828,-29.66919,321.76828,-5.7165174,-1.940433,-0.009109497,-0.022003174,-0.018630981,0,0,0
-0.44665527,0.987442,9.789047,13.282776,12.051392,-28.952026,322.35394,-5.6799173,-2.264182,-0.029876709,0.035003662,-0.010284424,0,0,0
