acceX,acceY,acceZ,x2,y2,z2,sum,sqrt
0.4060669,0.90948486,11.72551,0.164890327,0.827162711,137.4875848,138.4796378,11.76773716
1.523941,-0.037216187,18.694519,2.322396171,0.001385045,349.4850406,351.8088219,18.75656743
1.3111267,-1.3432312,18.016602,1.719053223,1.804270057,324.5979476,328.1212709,18.114118
2.8331604,-0.28019714,8.634598,8.026797852,0.078510437,74.55628262,82.66159091,9.091841998
0.93510437,-0.58291626,6.8056946,0.874420183,0.339791366,46.31747899,47.53169054,6.894323066
0.25828552,0.24589539,4.1900177,0.06671141,0.060464543,17.55624833,17.68342428,4.205166379
0.2811737,0.5770111,2.3836517,0.07905865,0.33294181,5.681795427,6.093795886,2.468561501
-0.3945465,0.01626587,6.648712,0.155666941,0.000264579,44.20537126,44.36130278,6.660428123
0.77523804,0.41427612,10.833603,0.600994019,0.171624704,117.366954,118.1395727,10.86920295
0.77523804,0.41427612,10.833603,0.600994019,0.171624704,117.366954,118.1395727,10.86920295
1.8294678,0.13246155,14.374847,3.346952431,0.017546062,206.6362263,210.0007248,14.49140175
1.0675201,-0.46372986,19.111954,1.139599164,0.215045383,365.2667857,366.6214302,19.14736092
1.2132874,-0.15499878,11.660522,1.472066315,0.024024622,135.9677733,137.4638642,11.72449846
0.87480164,-0.75737,8.226471,0.765277909,0.573609317,67.67482511,69.01371234,8.307449208
0.45066833,-0.396286,7.1628113,0.203101944,0.157042594,51.30586572,51.66601026,7.187907224
-0.15934753,0.34111023,3.6852112,0.025391635,0.116356189,13.58078159,13.72252941,3.704393258
-0.3231659,0.590744,3.5426025,0.104436199,0.348978474,12.55003247,13.00344715,3.606029277
-1.0692444,-0.16545105,8.701675,1.143283587,0.02737405,75.71914781,76.88980544,8.768683222
-1.0692444,-0.16545105,8.701675,1.143283587,0.02737405,75.71914781,76.88980544,8.768683222
0.29367065,0.5289154,12.402573,0.086242451,0.2797515,153.823817,154.189811,12.41731899
-0.31643677,-1.227356,19.329056,0.100132229,1.506402751,373.6124059,375.2189408,19.37056893
1.8881073,-1.3094482,14.95105,3.564949176,1.714654588,223.5338961,228.8134999,15.12658256
1.8781433,-0.8597717,9.281464,3.527422255,0.739207376,86.14557398,90.41220361,9.5085332
0.6451416,-0.6016998,6.084137,0.416207684,0.362042649,37.01672303,37.79497337,6.147761655
-0.068344116,-0.24328613,4.555084,0.004670918,0.059188141,20.74879025,20.81264931,4.562088262
0.14071655,-0.10820007,3.9184265,0.019801147,0.011707255,15.35406624,15.38557464,3.922444982
-0.54042053,-0.355896,7.0483856,0.292054349,0.126661963,49.67973957,50.09845588,7.07802627
0.9419861,-0.11871338,12.789185,0.887337813,0.014092867,163.563253,164.4646836,12.82437849
1.7342224,-1.0632629,17.107208,3.007527333,1.130527995,292.6565656,296.7946209,17.22772826
0.9419861,-0.11871338,12.789185,0.887337813,0.014092867,163.563253,164.4646836,12.82437849
0.63323975,-0.84942627,15.895569,0.400992581,0.721524988,252.6691138,253.7916314,15.930839
1.7309265,-0.2532959,10.263794,2.996106548,0.064158813,105.3454673,108.4057326,10.41180737
0.3283081,-1.1799774,8.122772,0.107786209,1.392346665,65.97942496,67.47955784,8.214594198
-0.37054443,-0.9605408,6.0594788,0.137303175,0.922638628,36.71728333,37.77722513,6.146318014
-0.045394897,0.2501068,3.6948395,0.002060697,0.062553411,13.65183893,13.71645304,3.70357301
-0.11378479,0.35325623,4.5708466,0.012946978,0.124789964,20.89263864,21.03037558,4.585888745
-0.7094574,-0.30952454,8.286102,0.503329802,0.095805441,68.65948635,69.2586216,8.322176494
2.0877838,-0.3659973,14.401428,4.358841196,0.133954024,207.4011284,211.8939237,14.55657665
2.0877838,-0.3659973,14.401428,4.358841196,0.133954024,207.4011284,211.8939237,14.55657665
0.7782593,-2.1658173,22.811295,0.605687538,4.690764577,520.3551796,525.6516317,22.92709383
3.0293884,-1.5262299,12.189697,9.177194078,2.329377708,148.588713,160.0952847,12.65287654
1.0660553,-1.5949097,7.275223,1.136473903,2.543736951,52.9288697,56.60908055,7.523900621
