sqrt_xiaomi,sqrt_samsung
9.314860702,8.511968619
9.744401637,8.637517494
9.701665149,10.31680611
10.1642698,9.911248937
11.40990018,9.178369919
10.90457183,8.568548823
9.382869716,7.819831495
8.402339812,7.531768969
6.9679461,8.616503266
6.88637923,9.838888814
8.833144089,9.409344805
11.05930757,11.46649465
14.41593302,12.54855851
17.41639904,15.55242534
10.77480009,9.218521081
7.509597247,5.455293756
5.106535086,3.870261632
4.775763574,6.370031681
6.823909733,5.538113125
8.665771067,8.711331267
8.665771067,8.894416798
13.27794922,14.74592302
16.86907006,15.18159299
17.01149264,14.45008334
8.713939946,10.48453467
7.035960094,7.227580193
5.722971788,4.496602054
4.344677812,3.623641406
4.379996404,4.05998901
8.308147993,5.866586904
8.308147993,11.32699587
12.52299974,12.57184858
18.03089272,14.8267264
19.14716634,18.58525805
10.09623332,8.166665992
6.216466085,9.5318432
4.689591375,5.65320642
2.988094871,3.686140133
5.650159703,3.614233061
10.34254353,7.234277591
15.75194717,7.177924603
15.75194717,15.02312559
20.72935286,14.17742067
12.16141514,11.93019316
8.325167998,10.86174826
4.711052533,8.435960355
3.015030354,4.692166347
3.876963102,3.254680235
11.76773716,8.076433736
9.326869441,8.076433736
11.76773716,6.618954554
18.75656743,11.04608596
18.114118,12.47699797
9.091841998,18.17593692
6.894323066,9.853172972
4.205166379,9.04541685
2.468561501,5.906564408
6.660428123,4.856815033
10.86920295,4.736798913
10.86920295,6.855473988
14.49140175,7.748105621
19.14736092,7.748105621
11.72449846,13.66757957
8.307449208,14.57019801
7.187907224,11.51460449
3.704393258,9.931755634
3.606029277,8.083740319
8.768683222,6.827508254
8.768683222,3.391288055
12.41731899,4.505819401
19.37056893,8.464079905
15.12658256,11.87964817
9.5085332,11.87964817
6.147761655,14.28654415
4.562088262,16.54624811
3.922444982,11.16470604
7.07802627,8.741507785
12.82437849,6.556369214
17.22772826,4.806173517
12.82437849,4.823678835
15.930839,5.527256633
10.41180737,7.970174801
8.214594198,7.970174801
6.146318014,12.78749822
3.70357301,14.50832903
4.585888745,12.75010869
8.322176494,10.43285665
14.55657665,8.968623822
14.55657665,7.401031794
17.92709383,3.751748395
12.65287654,4.363938123
7.523900621,5.995219779
5.423392752,9.058514136
3.693397911,9.058514136
5.376746826,13.42955674
9.26971317,12.21452663
14.24032805,18.64620534
9.26971317,8.655367274
13.30992571,5.62992009
17.96966475,4.560388329
9.15477171,4.323370175
4.278420489,6.353383001
6.596694891,7.388053028
5.255184628,7.388053028
6.662803659,14.34272126
11.63800361,14.92528606
16.98039286,11.49936917
11.63800361,11.52280047
17.991247,8.648932221
10.19486748,5.668380023
6.994152115,4.011279717
4.795599358,4.321179121
3.128621096,6.395486718
5.989586452,8.525514146
12.29182269,8.525514146
16.39993338,14.60206924
16.39993338,18.33678518
17.4158037,12.06443166
10.2582569,9.026808077
7.224056624,5.189955229
5.637654674,5.279616124
3.873946406,3.352227768
4.481801707,4.641786413
9.241056071,8.021581716
9.241056071,8.021581716
14.21972381,15.1208039
19.47746608,17.43813486
14.79445523,12.00450939
8.721575224,7.001090882
5.813733836,6.312183427
3.679663484,3.82974946
3.360685475,3.869507092
8.257477857,7.65359854
11.54353229,8.764214673
11.54353229,10.37181066
16.78714952,10.37181066
16.40764823,14.98251585
9.847224405,18.77963164
6.02911683,11.10298701
5.121560549,7.786125848
3.528271342,5.211852806
6.179765386,4.27439341
11.53943694,3.969463499
11.53943694,5.331618741
16.43909312,6.35688783
18.29767789,6.35688783
11.17385333,16.19061934
7.784232289,18.02459341
5.364338378,11.75238302
3.807076723,9.402133143
4.098506058,7.267698535
9.765426247,4.520395945
14.57274794,3.601532153
14.57274794,5.401399206
16.85603251,7.26084045
8.658893948,11.53771649
11.80720851,7.26084045
8.057127619,16.45578276
4.815794977,15.82703145
